Date;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2 Sup;C4 inf;C5 supA;C5 inf;C6 s+m;C6 inf;BPL;MgO;Fe2O3;SiO2;CO2;BPL;MgO;Fe2O3;SiO2;CO2
19-févr.;;47;;;;; -     ; -     ;14;24;15;53;1.64;;12.68;8.89;56.96;1.5;0.3;11.52;6.81
20-févr.;;43;;;;; -     ; -     ;14;32;10;52.83;1.59;;12.58;8.87;50.72;1.73;0.32;12.53;8.09
21-févr.;;56;;;;; -     ; -     ;3;32;9;52.29;1.48;;13.25;8.47;57.21;1.63;0.3;11.78;8.46
22-févr.;;28;;;;; -     ; -     ;22;26;24;53.57;1.46;;13.65;7.79;53.99;1.41;0.33;13.44;7.52
23-févr.;;40;;;;;2; -     ;16;24;18;53.19;1.42;;14.07;8.05;53.99;1.44;0.31;14.88;7.57
24-févr.;;35;;;;; -     ; -     ;21;20;24;53.07;1.54;;14.05;8.2;52.25;1.39;0.3;13.34;7.98
25-févr.;;33;;;;; -     ; -     ;20;23;24;53.25;1.55;;14.16;8.22;51.57;1.85;0.29;16.58;7.81
26-févr.;;42;;;;; -     ; -     ;16;26;17;52.86;1.46;;13.98;8.17;52.43;1.15;;15.64;7.25
27-févr.;;49;;;;; -     ;17; -     ;19;15;51.72;1.63;;13.22;8.32;52.23;1.85;;14.04;9.08
28-févr.;;77;;;;; -     ; -     ;10;12;1;50.86;1.39;;13.02;8.34;53.93;1.76;0.32;13.2;7.52
1-mars;;48;;;;; -     ;14; -     ;23;15;52.21;1.51;;13.83;8.24;53.73;1.92;0.3;12.92;7.2
2-mars;;35;;;;;7;11;8;25;13;52.99;1.39;;13.36;7.9;50.17;2.1;0.3;12.86;8.28
3-mars;;39;;;;;5; -     ;18;29;9;53.12;1.4;;12.82;7.94;50.65;1.69;0.29;13.5;8.54
4-mars;;37;;;;; -     ;15;3;38;8;52.95;1.54;;12.05;8.1;54.09;1.51;0.3;13.35;8.23
5-mars;;53;;;;; -     ;10;6;17;14;52.06;1.48;;13.37;8.32;51.79;1.63;0.31;15.04;9.26
6-mars;;45;;;;;24;13; -     ;16;3;51.53;1.53;;15.16;8.07;48.28;1.92;0.29;15.03;9.29
7-mars;;51;;;;;5; -     ;4;26;14;52.3;1.38;;14.4;7.73;53.68;1.5;0.28;15.44;7.71
8-mars;;24;;;;;8; -     ;18;18;32;53.23;1.4;;14.91;7.52;55.06;1.38;0.29;14.04;6.9
9-mars;;35;;;;;15; -     ;14;23;14;52.96;1.35;;15.24;7.51;52.8;1.55;;13.62;8.62
10-mars;;34;;;;;5; -     ;23;22;16;53.39;1.29;;13.83;7.47;52.01;1.51;0.31;15.91;8.08
11-mars;;42;;;;;3; -     ;15;20;20;53.28;1.25;;14.52;7.12;50.55;1.54;;18.41;7.12
12-mars;;32;;;;;2; -     ;16;22;27;53.95;1.14;;12.77;7.2;56.17;1.35;;13.16;7.12
13-mars;;39;;;;;4; -     ;9;23;25;53.72;1.02;;12.71;7.15;56.39;1.28;0.28;13.11;7.36
14-mars;;32;;;;; -     ; -     ;38;29; -     ;52.71;1.59;;11.39;7.61;55.64;1.33;0.3;13.85;8.14
15-mars;;40;;;;; -     ; -     ;14;46; -     ;54.29;1.23;;12.14;7.27;57.56;1.55;0.3;10.72;7.52
16-mars;;35;;;;; -     ; -     ;39;26; -     ;53.1;1.52;;11.44;8.07;53.73;1.69;0.32;14.68;8.84
17-mars;;41;;;;; -     ; -     ;37;22; -     ;52.88;1.49;;11.74;8.18;51.07;1.96;0.33;13.71;9.09
18-mars;;33;;;;; -     ; -     ;42;25; -     ;53.13;1.55;;11.43;8.18;52.12;2.09;0.34;13.35;9.22
19-mars;;36;;;;; -     ; -     ;37;20;7;52.94;1.57;;11.74;8.58;51.78;1.83;0.31;13.28;9.5
20-mars;;38;;;;; -     ;12;14;23;13;53.52;1.38;;12.5;8.19;53.24;1.74;0.29;12.64;8.9
21-mars;;43;;;;; -     ;2;17;24;13;52.45;1.39;;12.74;9.02;51.29;1.98;0.33;12.24;9.84
22-mars;;24;;;;; -     ;26;17;19;14;52.2;1.7;;11.76;9.39;53.74;1.8;0.32;11.56;8.95
23-mars;;37;;;;; -     ;24;13;18;7;51.64;1.66;;12.38;10.02;53.58;1.51;0.3;13.04;8.6
24-mars;;36;;;;;4;24;19;14;2;51.02;1.78;;12.9;10.11;51.22;1.95;0.31;11.4;9.36
25-mars;;42;;;;;3;10;27;19; -     ;51.63;1.75;;12.55;9.58;52.72;1.74;0.31;13.22;9.6
26-mars;;36;;;;;3;23;17;20; -     ;50.44;1.73;;12.58;10.85;49.43;1.92;0.33;12.21;11.32
27-mars;;32;;;;; -     ;27;21;19; -     ;51.86;1.88;;11.19;10.6;54.18;1.53;0.32;10.84;9.33
28-mars;;49;;;;; -     ;8;22;20; -     ;52.22;1.81;;11.61;9.09;49.61;1.59;0.33;13.06;10.76
