Date;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2 Sup;C4 inf;C5 supA;C5 inf;C6 s+m;C6 inf;BPL;MgO;Fe2O3;SiO2;CO2;BPL;MgO;Fe2O3;SiO2;CO2
5-août;10;14;8;;;8;; -     ;36;24; -     ;52.44;1.65;;11.62;9.23;57.5;1.47;;12.64;7.94
6-août;19;20;11;;;7;; -     ;22;21; -     ;51.76;1.62;;11.92;9.36;52.46;1.76;;12.29;10.16
7-août;15;21;11;;;11;; -     ;26;17; -     ;51.54;1.65;;12.04;9.44;54.97;1.56;;13.76;7.97
8-août;18;8;2;;;13;; -     ;53;6; -     ;52.11;1.84;;10.51;10.28;57.46;1.31;;12.04;6.73
9-août;18;18;7;;;15;; -     ;32;11; -     ;52.53;1.71;;12.67;8.77;53.38;1.54;;11.53;10.53
10-août;16;15;11;;;12;;12;16;19; -     ;52.38;1.6;;11.95;9.06;52.29;1.5;;12.84;9.33
11-août;11;12;11;;;14;;21;8;24; -     ;52.8;1.55;;11.93;8.95;54.34;1.46;;13.56;7.75
12-août;8;10;7;;;15;; -     ;21;37;2;53.62;1.42;;12.44;7.93;53.92;1.5;;13.62;8.7
13-août;3;2;3;;;19;; -     ;31;38;4;53.81;1.39;;13.3;7.89;52.21;1.49;;15.14;8.96
14-août;26;7; -     ;;;17;; -     ; -     ;34;15;54.11;1.22;;13.22;7.97;54.21;1.42;;14.7;7.62
15-août; -     ;5; -     ;;;23;; -     ;14;57; -     ;55.04;1.16;;13.8;6.58;62.53;0.78;;12.7;5.98
16-août;5;9; -     ;;;18;; -     ;18;51; -     ;54.62;1.26;;12.96;7.04;59.95;0.78;;13.69;5.58
17-août;9;19; -     ;;;7;; -     ;28;38; -     ;52.89;1.47;;12.28;8.31;59.81;1.06;;14.02;6.11
18-août;35;9;7;;;8;; -     ; -     ;34;7;54.01;1.38;;12.27;8.12;59.91;1.3;;11.58;6.97
19-août; -     ;21; -     ;;;8;; -     ;28;33;10;54.23;1.34;;11.96;7.93;59.28;1.26;;10.78;7.29
20-août; -     ;6; -     ;;;14;; -     ;31;35;13;53.02;1.46;;12.91;8.76;58.4;1.23;;12.79;7.33
21-août; -     ; -     ;7;;;9;; -     ;30;39;15;52.49;1.43;;13.63;8.4;53.1;1.48;;12.84;7.53
22-août; -     ;4;3;;;5;; -     ;20;45;23;52.95;1.29;;14.01;8.04;54.78;1.48;;13.01;7.68
23-août;2; -     ;4;;;17;; -     ;25;34;19;53.25;1.38;;13.38;8.06;56.71;1.31;;12.39;6.88
24-août; -     ; -     ;3;;;19;; -     ;27;22;29;53.25;1.39;;13.09;8.18;55.83;1.29;;13.88;7.77
25-août; -     ; -     ;3;;;20;; -     ;26;23;28;52.85;1.42;;13.02;7.5;56.79;1.2;;13.64;7.32
26-août; -     ; -     ;3;;;20;; -     ;26;22;29;54.85;1.45;;13.54;8;56.24;1.4;;13.85;7.28
27-août;;;3;;;20;; -     ;31;22;24;53.65;1.5;;13.07;7.05;54.49;1.58;;13.91;7.18
28-août; -     ; -     ;8;;;15;; -     ;35;22;20;52;1.52;;13.99;7.12;52.62;1.6;;14.48;7.89
29-août;;;3;;;20;; -     ;26;22;29;54.85;1.45;;13.54;8;56.01;1.42;;13.48;7.02
30-août;;;13;;;10;; -     ;45;22;10;54.12;1.5;;13;7.69;56.12;1.65;;11.7;7.49
31-août; -     ;15;7;;;11;; -     ;23;20;23;49.94;1.57;;15.28;8.51;50.42;1.74;;17.12;8.02
1-sept.;9;19; -     ;;;;7; -     ;21;22;21;51.84;1.45;;13.67;8.17;50.25;1.59;;15.64;8.49
2-sept.;13;3;7;;;; -     ; -     ;24;37;16;53.16;1.43;;12.74;7.65;54.32;1.48;;12.2;8.2
3-sept.;13;3;10;;;; -     ; -     ;24;35;15;52.08;1.47;;13.07;9.08;54.8;1.56;;12.79;7.02
4-sept.;13;5;9;;;; -     ; -     ;25;34;14;52.38;1.48;;12.74;8.7;54.63;1.49;;13.75;8.7
5-sept.;14;9; -     ;;;; -     ; -     ;18;36;23;52.94;1.36;;13.09;7.98;56.01;1.4;;12.96;7.64
6-sept.;12;7; -     ;;;; -     ; -     ;25;36;20;53.07;1.4;;12.33;8.21;55.48;1.38;;14.31;7.21
7-sept.;14;10; -     ;;;;3; -     ;22;33;17;53.16;1.43;;12.43;8.41;55.86;1.46;;13.36;8.14
8-sept.;13; -     ; -     ;;;; -     ; -     ;36;39;12;54.19;1.44;;12.33;7.99;54.66;1.39;;14.5;7.64
9-sept.;11; -     ;3;;;; -     ; -     ;31;28;28;53.05;1.48;;13.15;8.1;56.45;1.42;;13.04;6.85
10-sept.;13; -     ; -     ;;;; -     ; -     ;24;38;25;54.27;1.36;;13.02;7.73;56.28;1.4;;13.42;6.82
11-sept.;15;4; -     ;;;; -     ; -     ;26;29;26;54.1;1.4;;12.82;8.41;57.66;1.42;;13.4;6.89
12-sept.;13; -     ;12;;;; -     ; -     ;19;32;24;53.61;1.39;;12.64;8.93;57.24;1.36;;14.04;6.71
13-sept.;25;5;8;;;; -     ; -     ;26;37; -     ;54.2;1.51;;11.8;9.35;53.98;1.6;;13.95;8.02
14-sept.;27;17;5;;;;; -     ;18;33; -     ;53.37;1.54;;12.98;9.13;58.1;1.53;;11.88;6.69
15-sept.;17;30;5;;;;; -     ;12;26;11;51.35;1.68;;13.93;9.47;54.63;1.7;;15.32;7.25
16-sept.;27;22;10;;;;; -     ;19;15;7;50.13;1.74;;13.84;9.74;50.36;1.76;;16.42;9.06
17-sept.;28;31;9;;;;;15; -     ;18; -     ;51.84;1.64;;15.33;9.92;49.52;1.7;;18.15;8.5
18-sept.;17;33;9;;;;;12; -     ;25;4;51.45;1.56;;15.66;9.53;52.68;1.6;;17.13;8.39
19-sept.;19;26;9;;;;;4; -     ;31;11;52.25;1.46;;16;8.74;54.43;1.22;;15.59;7.1
20-sept.;13;18;9;;;;;20; -     ;23;17;51.79;1.5;;14.53;9.42;50.3;1.43;;17.24;7.24
21-sept.;7;19;10;;;; -     ;26; -     ;20;19;51.62;1.56;;15.05;9.96;52.08;1.66;;16.2;7.97
22-sept.;3;25;17;;;; -     ;17;6;19;13;50.05;1.7;;14.9;10.27;48.39;1.6;;17.67;8.29
23-sept.;10;24;4;;;; -     ;11;13;19;19;50.48;1.67;;14.77;9.98;49.04;1.56;;18.9;8.09
24-sept.;7;8;5;;;; -     ;26;18;13;23;50.4;1.72;;13.44;10.4;48.03;1.96;;17.56;9.19
25-sept.;13;1;2;;;; -     ;36;20;20;8;51;1.76;;12.64;10.43;51.54;1.93;;12.82;10.1
26-sept.;10;5;6;;;; -     ;22;15;24;18;51.57;1.58;;13.2;9.51;52.4;1.58;;12.76;9.56
27-sept.;15;16;10;;;; -     ;23;4;17;14;50.65;1.71;;14.31;10.05;52.11;1.4;;18.8;7.52
28-sept.;19;17;10;;;;3; -     ;25;16;10;50.99;1.76;;14.01;9.8;53.27;1.38;;12.94;9.2
29-sept.;21;23;8;;;;9; -     ;34; -     ;6;49.41;2.01;;13.94;11.06;51.36;1.68;;13.65;8.89
30-sept.;22;19;3;;;; -     ;38; -     ; -     ;18;49.33;1.88;;14.05;11.22;51.11;1.97;;15.41;9.56
1-oct.;17;22;1;;;; -     ;9;34; -     ;16;50.34;1.85;;13.78;11.35;52.55;1.82;;13.1;9.76
2-oct.;17;17; -     ;;;; -     ; -     ;39;9;18;51.44;1.75;;13.62;10.5;54.71;1.47;;14.19;6.69
3-oct.;23;35; -     ;;;; -     ; -     ;7;20;15;51.41;1.54;;14.65;9.16;50.05;1.57;;15.37;8.46
4-oct.;7;40; -     ;;;; -     ; -     ;28;10;14;49.89;1.75;;14.51;10.73;53.47;1.28;;15.37;7.45
5-oct.;7;30; -     ;;;; -     ; -     ;49;3;11;49.47;1.93;;12.81;11.69;49.63;1.44;;13.76;10.31
6-oct.;14;30;7;;;; -     ;14;23; -     ;12;48.82;1.87;;13.66;11.69;49.99;1.57;;15.11;10.13
7-oct.;6;21;18;;;; -     ;24;20;;11;48.09;1.91;;13.55;12.05;49.41;1.77;;13.28;10.94
8-oct.;10;35; -     ;;;; -     ;21;20; -     ;14;49.01;1.87;;13.65;11.86;45.9;1.73;;13.56;12.42
9-oct.;11;39;3;;;; -     ;20;19; -     ;9;48.87;1.88;;13.49;11.94;47.83;1.81;;14.11;11.85
10-oct.;7;36;12;;;; -     ;7;26; -     ;13;48.51;1.87;;13.99;11.8;49.39;1.58;;14;9.53
11-oct.;3;32;4;;;; -     ;19;17;10;15;49.55;1.74;;14.19;11.07;50.21;1.84;;12.89;12.37
12-oct.; -     ;33; -     ;;;; -     ;2;17;28;20;51.48;1.5;;15.45;9.38;50.36;1.54;;13.74;7.5
13-oct.; -     ;14; -     ;;;;15;11; -     ;24;37;50.8;1.46;;17.21;8.4;53.07;1.24;;17.16;7.17
14-oct.; -     ;40; -     ;;;;17;2;1;18;22;49.15;1.6;;17.33;9.41;49.65;1.49;;18.72;7.69
15-oct.; -     ;41;2;;;; -     ;2;17;21;16;49.7;1.62;;14.67;10.31;49.1;1.53;;13.4;8.93
16-oct.; -     ;41; -     ;;;;;23;16;20; -     ;49.61;1.77;;13.43;11.36;52.24;1.6;;12.6;7.88
17-oct.; -     ;22; -     ;;;;;34;23;21; -     ;50.74;1.83;;11.81;11.57;52.18;1.91;;10.56;10.54
18-oct.; -     ;27;3;;;;;26;20;23; -     ;51.01;1.79;;13.24;11.37;55.28;1.79;;10.62;9.33
19-oct.; -     ;44; -     ;;;;;12;18;26; -     ;51.63;1.7;;14.33;10.75;51.15;1.89;;11.77;10.3
20-oct.; -     ;27; -     ;;;;;17;32;24; -     ;51.71;1.79;;12.78;11.15;49.82;1.71;;13.68;9.23
21-oct.; -     ;29;2;;;; -     ; -     ;52;17; -     ;50.33;1.74;;11.75;11.38;55.8;1.54;;12.84;6.55
22-oct.; -     ;27;8;;;;16;4;11;33; -     ;51.73;1.65;;12.8;10.1;52.93;1.78;;12.87;9.43
23-oct.;2;19;7;;;; -     ; -     ;52;20; -     ;50.76;1.78;;11.54;11.28;53.82;1.75;;12.44;8.85
24-oct.;11;27;5;;;;9; -     ;37;11; -     ;49.85;1.83;;12.84;11.13;52.83;1.92;;10.66;9.13
25-oct.;12;22;8;;;;11; -     ;26;21; -     ;51.07;1.71;;13.62;10.26;52.8;1.96;;10.6;9.33
26-oct.;11;20;7;;;;12; -     ;30;20; -     ;50.83;1.75;;13.44;10.42;55.89;1.87;;9;9.13
27-oct.;12;26;8;;;;7; -     ;27;19; -     ;50.87;1.71;;13.22;10.48;52.52;1.94;;10.4;10.82
28-oct.;13;28;9;;;;8; -     ;18;23; -     ;51.31;1.64;;13.86;10.05;52.09;1.89;;12.47;9.84
29-oct.;12;25;6;;;8;; -     ;19;31; -     ;52.4;1.51;;13.85;9.43;57.69;1.48;;12.49;6.44
30-oct.;11;25;9;;;13;; -     ;18;25; -     ;51.62;1.56;;14.13;9.64;54.48;1.68;;12.52;7.69
31-oct.;16;29;7;;;14;; -     ;24;9; -     ;50.38;1.69;;14.1;10.58;51.92;1.9;;14.54;8.92
1-nov.;16;31;2;; -     ;14;; -     ;20;16; -     ;52.22;1.58;;14.45;8.17;49.87;1.9;;16.35;9.77
2-nov.;11;23;3;; -     ;18;; -     ;17;23;5;52.05;1.53;;14.63;8.18;51.31;1.73;;13.62;8.35
3-nov.;16;2;9;; -     ;16;; -     ;17;21;20;52.23;1.49;;14.24;8.33;56.65;1.56;;;7.42
4-nov.;15;5;12;; -     ;16;; -     ;32;7;13;50.81;1.71;;13.4;9.44;54.12;1.54;;;7.76
5-nov.;12;10;5;; -     ;14;; -     ;21;18;19;51.84;1.55;;14.04;8.71;53.88;1.7;;;8.39
6-nov.;14;11;7;; -     ;13;; -     ;17;17;21;51.71;1.54;;14.3;8.68;56.57;1.5;;;8.03
7-nov.;15;1;2;; -     ;16;; -     ;12;26;28;53.17;1.41;;14.79;7.75;52.96;1.71;;;11.27
8-nov.;13;3;8;; -     ;12;; -     ;14;31;20;51.99;1.49;;15.34;8.26;53.35;1.74;;10.25;13.21
9-nov.;14;5;2;; -     ;13;; -     ;26;19;19;51.99;1.6;;14.45;8.71;56.85;1.43;;14.7;6.88
10-nov.;13;2;15;; -     ;16;; -     ;15;10;29;52.08;1.5;;13.83;8.35;56.89;1.51;;13.84;6.54
11-nov.;13; -     ;16;; -     ;12;; -     ;14;29;16;51.53;1.53;;15.09;8.48;55.78;1.47;;14.76;6.96
12-nov.;27; -     ;16;; -     ; -     ;; -     ;23;21;14;50.91;1.7;;14.72;9.4;51.87;1.53;;17.62;7.8
13-nov.;27; -     ;14;; -     ; -     ;; -     ;27;17;15;51.43;1.73;;14.42;9.32;55.89;1.45;;12.26;7.1
14-nov.;35; -     ;10;; -     ; -     ;; -     ; -     ;21;34;51.83;1.5;;16.34;8.06;53.69;1.55;;13.25;8.36
15-nov.;29; -     ;15;; -     ; -     ;; -     ; -     ;30;26;53.01;1.42;;14.55;7.49;55.89;1.31;;14.28;7.28
16-nov.;28;7;2;; -     ; -     ;;29;13;12;10;51.83;1.7;;13.06;9.9;52.79;1.26;;13.08;10.21
17-nov.;28;16;4;;2;4;;17;10;19;1;51.76;1.69;;13.03;9.44;52.42;1.55;;14.48;9.7
18-nov.;13;3;3;;9;17;;15;10;25;5;52.63;1.63;;13.97;8.6;53.4;1.48;;11.61;9.05
19-nov.;14;4;2;;9;22;;9;10;19;11;51.82;1.69;;14.52;8.44;55.37;1.34;;12.81;7.24
20-nov.;13;10; -     ;;10;20;;6;14;19;8;51.94;1.68;;13.98;8.41;55.91;1.4;;12.04;6.97
21-nov.;11;19; -     ;;9;14;; -     ;9;20;19;51.72;1.56;;14.44;8.25;56.23;1.67;;13.1;9.05
22-nov.;13; -     ;2;;9;18;; -     ;15;25;19;52.73;1.59;;14.55;7.81;54.28;1.6;;12.85;7.83
23-nov.;14;3;1;;10;17;; -     ;16;21;18;52.54;1.61;;14.45;7.97;55.86;1.51;;13.22;7.8
24-nov.;16;10;3;;10;17;; -     ;20;16;8;51.84;1.71;;13.8;8.54;54.24;1.68;;14.71;8.31
25-nov.;14;9;3;;9;15;;9;20;18;3;52.56;1.62;;12.75;8.69;54.5;1.59;;12.43;8.71
26-nov.;11; -     ;5;;12;25;;7;17;23; -     ;53.34;1.56;;11.98;7.95;48.92;1.82;;12.3;9.29
27-nov.;12;2;7;;9;23;;8;17;23; -     ;51.98;1.63;;13.71;7.68;53.67;1.61;;13.54;8.74
28-nov.;10;13; -     ;;3;20;;16;18;19; -     ;51.19;1.68;;14.35;8.06;51.79;1.74;;14.76;9.08
29-nov.;12;5;3;;10;21;;7;23;20; -     ;51.97;1.68;;14.13;8.05;48.75;1.78;;14.59;9.01
30-nov.;9;9; -     ;;8;18;;12;6;35;5;53.48;1.46;;13.35;8.2;56.42;1.52;;17.85;6.1
1-déc.;17;4;10;;7;26;; -     ; -     ;22;14;53.03;1.47;;14.3;8.16;53.29;1.63;;12.94;8.7
2-déc.;22;3;7;7;;19;; -     ;5;28;8;53.46;1.55;;13.47;8.45;53.6;1.34;;14.15;8.45
3-déc.;23;9; -     ;16;;15;; -     ;4;28;5;52.53;1.55;;13.98;8.1;53.09;1.42;;12.58;8.27
4-déc.;19;12; -     ;12;;19;; -     ;14;21;4;52.17;1.65;;13.77;8.48;53.6;1.6;;13.89;8.48
5-déc.;16;14; -     ;8;;13;; -     ;12;16;22;52.08;1.59;;14.29;8.29;53.51;1.59;;11.46;8.6
6-déc.;18;2; -     ;12;;15;; -     ;21;30;2;52.32;1.64;;13.61;8.21;55.39;1.36;;11.59;8.29
7-déc.;17;2;1;20;;17;; -     ; -     ;33;11;52.68;1.49;;14.42;7.54;53.92;1.49;;12.74;8.28
8-déc.;18;1;9;14;;12;; -     ;8;38; -     ;52.09;1.58;;13.89;8.12;54.08;1.69;;9.99;8.94
9-déc.;18;1;9;8;;8;; -     ;13;36;8;52.72;1.47;;13.98;8.01;54.4;1.47;;14.19;6.9
10-déc.;21;4;5;10;;12;; -     ;11;27;10;52.92;1.45;;13.6;8.25;54.52;1.21;;12.24;8.31
11-déc.;18;9;3;3;;18;; -     ;12;21;15;52.42;1.44;;13.47;8.74;54.07;1.03;;12.57;7.62
12-déc.;19;8;4;5;;14;;;20;19;11;51.99;1.6;;13.18;8.99;54.71;1.15;;12.47;8.17
13-déc.;12;8;3; -     ;4;16;;;15;19;22;51.19;1.6;;14.3;8.79;54.28;1.26;;11.5;8.78
14-déc.; -     ;3;7; -     ;4;16;;;25;15;30;50.98;1.61;;14.24;8.76;52.37;1.18;;13.64;9.46
15-déc.; -     ;6;8; -     ;5;24;;;23;17;17;50.48;1.65;;14.35;8.96;52.86;1.4;;15.61;7.77
16-déc.; -     ;5;4;21;6;5;;;20;19;20;51.73;1.58;;13.26;8.3;52.79;1.26;;14.9;8.32
17-déc.; -     ;4;5;15;;15;; -     ;26;14;20;51;1.66;;13.86;8.66;51.88;1.31;;13;8.74
18-déc.; -     ;9;5;14;;16;; -     ;24;18;15;51.02;1.66;;13.86;8.75;55.82;1.35;;17.87;5.87
19-déc.;1;6;6;13;;9;; -     ;39;22;4;51.59;1.7;;12.5;9.03;52.81;1.31;;14.31;9.19
20-déc.;12;3;6;12;7; -     ;;;23;23;14;53.44;1.52;;11.99;8.48;52.61;1.48;;10.62;10.52
21-déc.; -     ;5;6;11;; -     ;;15;26;25;13;53.64;1.52;;11.35;8.62;52.84;1.27;;11.66;9.84
22-déc.;21;3;9; -     ;;3;;5;21;17;22;52.81;1.55;;13.43;8.57;53.32;1.19;;11.31;8.24
23-déc.;7;11;5;6;;15;;5;27;22;3;52.13;1.59;;12.62;9.08;54.85;1.06;;11.59;8.88
24-déc.; -     ;14;3;15;;13;; -     ;33;16;5;51.76;1.6;;11.44;9.35;52.47;1.05;;13.99;11.23
25-déc.;2;10;4;13;;14;;8;35;11;2;51.32;1.75;;11.61;9.64;54.61;1.01;;12.62;9.22
26-déc.;18;4;17; -     ;;11;;10;29;12; -     ;51.03;1.77;;12.45;9.97;52.35;1.46;;8.43;11.53
27-déc.;16; -     ;8;1;;15;;13;33;14; -     ;51.63;1.72;;12.03;9.8;52.55;1.48;;7.37;11.44
28-déc.;14;16;7; -     ;;11;;14;22;16; -     ;51.32;1.72;;12.66;9.81;51.62;1.55;;11.31;10.14
29-déc.;16;16;6; -     ;;15;;12;20;15; -     ;51.04;1.75;;13.47;9.66;52.17;1.27;;12.73;
30-déc.;14;14;6;8;;5;;14;22;17; -     ;51.26;1.75;;11.82;9.93;52.3;1.76;;11.1;9.67
31-déc.;11;21;6;15;; -     ;;16;16;14; -     ;50.7;1.8;;12.33;9.75;52.52;1.34;;13.64;8.79
