,SM-MZ,BPL,MgO,Fe2O3,SiO2,CO2,BPLnif,MgOnif,Fe2O3nif,SiO2nif,CO2nif
153,61,48.46,1.39,0,16.73,10.54,49.27,1.69,0.0,14.0,10.44
"(nan, nan)",0,54.44,1.66,0,10.28,7.77,51.44,1.64,0.0,9.9,11.71
275,40,49.89,1.75,0,14.51,10.73,53.47,1.28,0.0,15.37,7.45
"(nan, nan)",17,52.33,1.73,0,12.47,8.46,56.69,1.76,0.0,10.54,8.81
"(nan, nan)",10,54.99,1.54,3.5,12.95,7.83,55.16,1.26,0.0,12.15,0
48,47,53.0,1.64,0,12.68,8.89,56.96,1.5,0.3,11.52,6.81
"(nan, nan)",13,54.33,1.57,0,11.62,6.9,53.34,1.72,0.0,10.57,9.16
"(nan, nan)",13,54.46,1.64,2.51,12,8.17,54.92,1.6,0.0,10.54,0
243,3,53.16,1.43,0,12.74,7.65,54.32,1.48,0.0,12.2,8.2
339,2,52.68,1.49,0,14.42,7.54,53.92,1.49,0.0,12.74,8.28
224,7,54.11,1.22,0,13.22,7.97,54.21,1.42,0.0,14.7,7.62
141,56,49.67,1.32,0,14.74,9.88,50.74,1.33,0.0,14.0,9.43
306,5,50.81,1.71,0,13.4,9.44,54.12,1.54,0.0,0,7.76
204,29,50.62,1.36,0,11.94,8.02,54.19,1.5,0.0,15.16,7.9
52,40,53.19,1.42,0,14.07,8.05,53.99,1.44,0.31,14.88,7.57
"(nan, nan)",1,54.02,1.55,3.12,13.08,6.57,54.88,1.67,0.0,12.02,0
"(nan, nan)",0,52.41,1.47,0,13.91,9.54,50.47,1.44,0.0,14.4,8.43
"(nan, nan)",8,52.9,1.56,0,13.09,8.02,52.75,1.54,0.0,12.4,8.53
103,68,48.3,1.72,0,18.47,9.23,45.04,1.52,0.3,17.54,10.85
"(nan, nan)",10,54.8,1.59,0,12.31,7.94,52.53,1.48,0.0,0,11.14
230,6,53.02,1.46,0,12.91,8.76,58.4,1.23,0.0,12.79,7.33
60,39,53.12,1.4,0,12.82,7.94,50.65,1.69,0.29,13.5,8.54
343,9,52.42,1.44,0,13.47,8.74,54.07,1.03,0.0,12.57,7.62
342,4,52.92,1.45,0,13.6,8.25,54.52,1.21,0.0,12.24,8.31
180,30,51.37,1.46,0,14.72,6.21,52.94,1.27,0.0,12.43,9.3
"(nan, nan)",8,54.06,1.61,3.3,11.61,8.22,52.39,1.82,0.0,9.12,0
"(nan, nan)",13,51.8,1.7,0,13.5,9.67,53.98,1.63,0.0,12.48,8.43
"(nan, nan)",4,53.81,1.5,0,13.69,7.39,52.65,1.41,0.0,15.61,8.65
346,3,50.98,1.61,0,14.24,8.76,52.37,1.18,0.0,13.64,9.46
