;;Date;% par provenance;;;;;;;;;;;Simulé;;;;;NIF;;;;
;;;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2S+M;C4;C5 SupA;C5 inf;C6 s+m;C6 inf;BPL ;MgO ;MO;SiO2 ;CO2;BPL ;MgO ;MO;SiO2 ;CO2
;;15-févr.; -     ;6; -     ;12;; -     ;; -     ;34;33;15;52.88;1.58;;13.03;8.12;57.2;0.97;;14.78;6.81
;;16-févr.; -     ; -     ; -     ;15;; -     ;; -     ;23;50;12;54.56;1.37;;13.55;7.29;51.79;1.33;;12.57;8.26
;;17-févr.; -     ; -     ; -     ;17;; -     ;;15;23;32;13;52.81;1.6;;12.95;8.87;54.54;1.3;;13.64;7.22
;;18-févr.; -     ;7; -     ;12;; -     ;;26;16;24;15;52.04;1.65;;13.1;9.36;53.27;1.19;;15.06;7.86
;;19-févr.; -     ;5; -     ;12;14; -     ;;11;18;28;11;53.48;1.51;;12.1;9.02;54.19;1.55;;14.06;8.18
;;20-févr.; -     ;9; -     ;2;8; -     ;;32;6;33;9;53.34;1.48;;12.92;9.31;55.12;1.39;;14.05;6.05
;;21-févr.;9;1; -     ;1;22; -     ;;9;18;31;9;53.81;1.45;;12.74;8.98;55.59;1.29;;13.57;7.58
;;22-févr.;12;3; -     ;6;4;15;;10;18;26;6;52.42;1.55;;14.7;8.54;53.39;1.51;;13.16;8.86
;;23-févr.;8;8; -     ;;3;7;;16;17;29;12;52.19;1.61;;14.46;8.66;52.22;1.52;;14.89;8.81
;;24-févr.;8;11; -     ;;4;9;;10;22;27;9;51.73;1.7;;14.51;8.59;53.03;1.31;;14.72;8.98
;;25-févr.;4;14; -     ;;4;4;;;54;20; -     ;51.19;1.86;;11.76;9.67;51.28;1.67;;15.27;8.88
;;26-févr.; -     ;10; -     ;;9;9;;;40;33; -     ;52.4;1.67;;11.72;9.4;50.6;1.6;;14.82;5.61
;;27-févr.; -     ;12; -     ;;6;6;;;35;40; -     ;52.3;1.62;;11.63;9.46;54.81;1.58;;13.13;8.33
;;28-févr.; -     ;22; -     ;;12;14;;;29;24; -     ;52.37;1.68;;12.51;8.81;53.41;1.65;;12.4;8.71
;Mars;1-mars;0;9;0;;0;19;;0;42;30;0;52.8;1.64;;12.65;9.56;51.83;1.43;;14.09;8.57
;;2-mars;3;13;0;;0;17;;0;38;29;0;51.8;1.7;;13.5;9.67;53.98;1.63;;12.48;8.43
;;3-mars;5;19;0;;11;14;;0;28;23;0;51.25;1.75;;13.12;10.48;52.85;1.69;;12.04;8.6
;;4-mars;0;0;0;;0;26;;0;51;23;0;52.29;1.67;;12.76;9.93;51.55;1.57;-;12.32;10.07
;;5-mars;0;0;0;;0;34;;17;12;20;18;52.09;1.54;;14.34;9.18;50.59;1.52;-;15.81;8.57
;;6-mars;0;5;0;;0;41;;0;0;28;26;52.78;1.31;;15.3;7.84;52.48;1.27;;15.81;7.8
;;7-mars;0;4;0;;0;27;;8;18;29;15;52.57;1.46;;13.82;9.19;53.18;1.67;;11.47;7.8
;;8-mars;0;0;0;;0;28;;28;0;32;12;52.37;1.46;;13.93;9.56;53.58;1.56;-;14.07;8.53
;;9-mars;0;0;0;3;;28;;27;0;31;12;52.41;1.47;;13.91;9.54;50.47;1.44;-;14.4;8.43
;;10-mars;0;4;0;15;;16;;23;0;28;13;52.66;1.53;;13.22;9.93;52.51;1.31;-;8;8.08
;;11-mars;0;20;0;9;;9;;4;17;31;10;52.42;1.5;;12.24;9.41;55.59;1.62;-;13.23;8.27
;;12-mars;0;24;0;2;;15;;0;30;26;4;52.11;1.55;;11.74;8.98;55.06;1.45;;14.3;7.95
;;13-mars;0;8;0;1;;28;;0;38;24;0;52.47;1.63;;11.81;7.77;53.81;1.85;-;12.82;8.02
